,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13
28,0.2715901657145507,0.36866187378765564,0.473680661255274,0.49571539917654756,0.4123635935642121,0.6225415633508464,0.3794582866850243,0.28737127098992377,0.3653738481877594,0.38325831364012136,0.37855227323458723,0.2975080846215591,0.3076639450520641,0.18701743148517475
29,0.27473377571895696,0.3710273086038638,0.47664084211019664,0.4980293604057934,0.41377357748216764,0.6247402990291984,0.38337668069837133,0.2898156605027334,0.3649659342883473,0.38581659373549776,0.38059439040500376,0.2995696505201303,0.3106117008289479,0.19160976989537237
30,0.2777261616182932,0.373310363825713,0.4793673913826615,0.5002056210486472,0.41501943258372453,0.6267114983867557,0.3870109879932187,0.29216330727942724,0.36440681055344754,0.38818595429491803,0.38265630521976907,0.30173598107563704,0.31343188830183555,0.19608785830905148
31,0.28054914082937965,0.37542331117900013,0.4818741229285469,0.5022165988522669,0.4160968476091751,0.6284832917012766,0.3903934050175207,0.29443999682444466,0.36373710974692536,0.3903086294048458,0.38451172836220365,0.3037908026096478,0.31610165280994507,0.20045652442208084
32,0.2831717738635066,0.37734845520949173,0.4841727093558505,0.5040705716639258,0.4170655169468981,0.6300715323204921,0.3935160408849467,0.2966018705938994,0.3628192324830197,0.392366626768379,0.3863186847408254,0.30575978456741554,0.31866091924264367,0.20470483685390228
33,0.28557869866134333,0.37913384611050255,0.48632330186372785,0.5057906600851674,0.41795576773168974,0.6315039990508057,0.3964125937786904,0.2985873647692484,0.3617021714642188,0.39430225319539947,0.3880399316418293,0.3077286278436684,0.32108153914897236,0.20883206412416241
34,0.2878314914309496,0.3807611536840788,0.48828026018836934,0.5073825612879216,0.41879592704144564,0.6327765660836386,0.3990893046926788,0.30049352371690063,0.36060277559980425,0.39602944664175616,0.38961572736082517,0.3096547593744519,0.3232602445520117,0.21285735203985187
35,0.2899073427863874,0.382301334353485,0.4900519585482593,0.5088706154136288,0.41956323597544776,0.6339189014388618,0.401560572953458,0.3022514294574744,0.35970828209172456,0.3976070323761634,0.3911019230619077,0.3115276095571773,0.3252275369331482,0.21680995081432228
36,0.2918140910396268,0.38370834789580655,0.4916609706087324,0.5102546396445116,0.4202448978369802,0.6349678017767073,0.40384510529716017,0.30382546981611125,0.35889485777219254,0.39916245222549535,0.39247182669878544,0.3132676293680008,0.32712789382903207,0.22068990670451918
37,0.2936155721528724,0.38500041016309045,0.493123986097053,0.5115343825117523,0.4208094352437672,0.6359518218908574,0.4059344915877189,0.3053280368655905,0.35822487936947034,0.40046915400055083,0.39379553150736024,0.31501008148812404,0.3288398549904977,0.2244751821814449
38,0.29528054467324916,0.38618348698601335,0.49446907994032574,0.5126975049116452,0.4213240766904565,0.6368732588444105,0.4078539307449622,0.3067860685233007,0.35767377501266756,0.40167224192707984,0.3949777689488564,0.3165734965917917,0.3304577196209047,0.22816409825568992
39,0.2968509705362598,0.3872914595745146,0.4957041689388193,0.5137693578913706,0.4217928460038899,0.6377301754941309,0.4096249816428614,0.3080586578580144,0.357179453314783,0.40264375263782937,0.39606208642037666,0.31804488228893135,0.33191212271033993,0.23174955057287405
40,0.29833538871719806,0.3883313211016801,0.4968479815677001,0.5147754426490397,0.42223736038118437,0.638518886184433,0.41126581839102505,0.3092655322774879,0.35671237143368384,0.4035959562068762,0.3970982970720932,0.3193975460986302,0.3332921860194506,0.2352380050704694
