,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10
13,0.18319806878739728,0.22426978697558772,0.16344324196944426,0.23217801503181895,0.22181891940611254,0.16594663234561605,0.27882385727527587,0.1960877800196774,0.1976316474032468,0.2196116844905509,0.1590837866392748
14,0.18997894094920253,0.2306294394636646,0.16636165301408976,0.2367775973072872,0.2245403886472444,0.16889342497047455,0.285280029783017,0.19936797612621987,0.20119964304249652,0.22319729421688417,0.1630926634687341
15,0.19630542772849982,0.23642782695483153,0.1695572379801554,0.2408674412896986,0.22731793238998316,0.17216715698243945,0.29112552002438347,0.20237770264363963,0.20465694321314515,0.2265806271000435,0.166582506670871
16,0.2020604242203578,0.2418866958465045,0.17234700453151466,0.24455545727332323,0.23000985786019987,0.17533256074156506,0.29637973038567056,0.20512290081701046,0.20790586719831403,0.22970977648764654,0.17001073625470722
17,0.2073500068397311,0.24673073949155744,0.17548984206880183,0.24790732040778848,0.23259884650425036,0.17847765695548176,0.3013340599080915,0.20758556747596116,0.21088698164986092,0.23253592484169924,0.17315935837901542
18,0.21217703000199273,0.25136601461576386,0.17824512400252843,0.2508245386693262,0.23507924005703754,0.181517045569773,0.30566457858347523,0.20986431974400194,0.21370578002199425,0.23511756242571297,0.17611342549591846
19,0.2164907744107123,0.2553775486876434,0.18049691070830434,0.25326171920903745,0.23727951865359906,0.18429630785470022,0.30919708129890905,0.2117944480005768,0.21617136210493054,0.23729774254058972,0.17889550043454178
20,0.2203998052471943,0.25916208193003937,0.18267382023736414,0.2553804980543632,0.23937349138897407,0.1869621477289664,0.3122776544378842,0.2134949833850934,0.2183748773847954,0.2394046644070819,0.18136897462885718
21,0.22379586142956875,0.2624509132368076,0.18464693075194197,0.2570860923350425,0.24124387631973393,0.18928775041475365,0.3148290804396767,0.2149587141759285,0.2202623282376358,0.2413590720589527,0.18373781949962947
22,0.22689804637298652,0.2656893074437997,0.18663567693679467,0.2586591337948248,0.24312575626684907,0.19161223152115345,0.3171076639528307,0.21632073922971343,0.2221239067688678,0.2432474027071181,0.18580094565877509
