,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11
12,0.24483957556974553,0.2794088559360696,0.2678739519901405,0.1308181122998177,0.24855521011865023,0.09555565252398486,0.22823539242289254,0.3622608749151094,0.30653259763350527,0.09158730509304662,0.16150057775860857,0.09655502556407466
13,0.25236495976568407,0.2864034978457812,0.2784773803980604,0.1380973536539452,0.2574419727531724,0.10098152746297262,0.23839637101849048,0.37798687685069793,0.3152022559164309,0.09696122616044688,0.16827150933275453,0.10225160969712666
14,0.2592799581961108,0.29249734593498145,0.2882710887296082,0.14505309127627927,0.26582506607828227,0.10634172679696534,0.24791326553700777,0.3924869923968823,0.3227268189563798,0.10216771809281745,0.17454999426159568,0.10774932646081242
15,0.26559742908886885,0.29781538409997266,0.2974247172989667,0.1517256855106039,0.2735833322145071,0.11160108336797914,0.2567844417553812,0.4058604855554295,0.32921467435536733,0.1072188273242919,0.18041371137905848,0.11299918603099843
16,0.2715286301723758,0.30243199977903834,0.30586880229157565,0.15809322790555883,0.2807907954803054,0.11675611197968357,0.2650146633593551,0.4182407996467217,0.33494070997041137,0.11212405933362883,0.18596074872124335,0.11804076599678312
17,0.2770822117675128,0.30652454094185655,0.313800299491975,0.16421525028903994,0.28749380412788234,0.12183222218693962,0.27264544041213384,0.4297992757909423,0.3401393277518188,0.11689560622369044,0.19112704292330762,0.12287630250951227
18,0.28213161474873716,0.31010837256257806,0.32125900530752244,0.17008291903919243,0.2938426410141798,0.12679512911638904,0.27972390144254405,0.44060632213404005,0.34472989490948075,0.12156762604904944,0.19605258229039335,0.12749367298581812
19,0.28669860947693154,0.3133331492396474,0.32831705150230894,0.17571818881605045,0.299779739588327,0.13164973726675125,0.28631375194756187,0.4507961900025574,0.34891276649850445,0.12612648464030982,0.20084809988151742,0.13194988246363165
20,0.29087893235276396,0.3162001687669798,0.33499078567319346,0.18117607717731263,0.30553057755641283,0.13638030704009446,0.2924747726425826,0.46033913485397976,0.352839215177753,0.13060514760265918,0.20547001887686175,0.1362610392843037
21,0.29477616437897225,0.3187777742610322,0.34117820082658495,0.18646338762342976,0.31099497963371836,0.1409782182076559,0.29825877861454114,0.4690948985102839,0.3563921365902467,0.1350030522406633,0.20986160998520026,0.14042482486420862
22,0.2983539505091249,0.3210748759814962,0.34700148693902483,0.19155788666822637,0.3160698914204465,0.14548589486933516,0.30371126188029934,0.47707477271052723,0.359707790736604,0.13931971825737868,0.2140211482662823,0.1444731971255421
23,0.3016095125358392,0.32316795977900165,0.3525267960459987,0.19647915092166401,0.32087286213672334,0.14987131174182913,0.30887342122905187,0.4844104624077039,0.3629652638956336,0.14355876620113564,0.21797742103723988,0.1483910475433502
24,0.3046036638151183,0.32503710840497607,0.35766497609462966,0.20122504918334674,0.32542679140037656,0.15410268975544814,0.31373218887968174,0.49118652011435116,0.36616056926458174,0.1477419508027059,0.22174422180971662,0.15219707206030655
25,0.3073850231063024,0.3267643816196503,0.3624859326530667,0.20587706654344987,0.3296378368160475,0.1582139974067313,0.3182897968868274,0.49747011158729765,0.36928584110332735,0.15186691310854428,0.22548765032275878,0.15589853466714954
26,0.3100281598756132,0.32835075850247625,0.36697838017193374,0.21042706982550852,0.3336160536665746,0.16225693749415307,0.3225701314723548,0.5033013901839438,0.3721568373794641,0.1559305402448511,0.2291997536770582,0.15950168225028274
27,0.31257778686267157,0.3298316835734502,0.37124195334266485,0.21488362983150214,0.3374365359288235,0.16622614951789508,0.3265900081218748,0.5087253334430999,0.3748376210452505,0.15994456071183408,0.23271238486580512,0.16301055137921772
28,0.31503482493026685,0.33118898348093123,0.3752946639905847,0.21918665116689795,0.3410748539850334,0.17016204046207192,0.3303590222658394,0.5137608980157073,0.3774302604579089,0.1639117680783645,0.2360988433546479,0.1664309511948394
29,0.31734979119882156,0.33242371230617085,0.37912099299075636,0.22335020816970427,0.34445339147847404,0.1740432505948649,0.33388941306415965,0.5184312130452271,0.3799388925404293,0.16784393398666775,0.2393326565458038,0.16977699424414291
30,0.31954977988250216,0.333554764193775,0.38270496281781663,0.22741526527189387,0.34764301226833255,0.17786408108430216,0.33718687742214404,0.5227582370707464,0.38235721858505567,0.17172557914275605,0.24245307638384236,0.1730579584360406
31,0.3216231295960656,0.3345327144238504,0.3860994264267865,0.23139966112055707,0.3506412934565104,0.18161156816734964,0.3402565420597673,0.5267695674283489,0.38480092235847413,0.17558195354676395,0.2455104847445703,0.17627601601300144
