,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9
33,0.2638765355129523,0.3435964814301902,0.3213131197421954,0.3984593273293745,0.23903733113476694,0.3253091558675288,0.404490587650307,0.2974787674368869,0.4006487776192683,0.27370075523896864
34,0.2643617782494267,0.34382687079315893,0.3224014770857325,0.3990770488051407,0.2390825092442387,0.32652404899056353,0.4062277240350971,0.299072268632421,0.4027209985311249,0.2790957884067645
35,0.26476722865254065,0.34402183152913784,0.3234704540184748,0.39960478003243244,0.2391583815655789,0.3276225021032404,0.4078202627471501,0.3005837203106992,0.40472997870391275,0.2844184819714951
36,0.26512925376700647,0.34420399982746896,0.3244789897415508,0.4000705118906572,0.2392336007755119,0.32861541719288684,0.4092899286849687,0.30204500252265915,0.40665708783504645,0.2896659530516463
37,0.2654514697218156,0.3443725654347694,0.32527700443919316,0.4004848175417825,0.2393423579764083,0.3295058283038389,0.41065462538059677,0.30341561484552115,0.408475665245311,0.2948386601605392
38,0.26572762196709365,0.34451888644559947,0.32600975737943927,0.40084022775592437,0.2394592854974543,0.3302897082217053,0.4118975292199989,0.3046611690258094,0.4102114536753275,0.2999488909088159
39,0.2659627321071421,0.3446633052311414,0.3267064857029317,0.4011689996380579,0.23955667079207968,0.3309759422645135,0.4130307699793752,0.3057718091278846,0.4118029431108729,0.3049887915946723
40,0.2661647629627772,0.3447722970323678,0.3273602708078144,0.4014329758766305,0.23970894232064685,0.3316091541505839,0.4140921437070937,0.30681779836864376,0.4132749865145672,0.3099541489943308
41,0.2663626890812383,0.34492490709485824,0.3280021211434369,0.4017159210324282,0.23980676164964113,0.33213479781291017,0.41507779842110626,0.3077862221255636,0.4145793673531819,0.31486866423688553
42,0.2665449397965257,0.3450134424562353,0.3286099754646634,0.4019494103693884,0.23996210872203674,0.33263390815068195,0.4159872032511657,0.30867674307212145,0.4157790379488772,0.3197184552998239
